普通命令
h	左移
l	右移
j	下移
k	上移
w	移动到下一个单词的开头
e	移动到当前单词的结尾
b	移动到上一个单词的开头
ge	移动到前一个单词的结尾
^	移动到行头
$	移动到行尾
f<字母>	向后搜索<字母>并跳转到第一个匹配的位置
F<字母>	向前搜索<字母>并跳转到第一个匹配的位置
t<字母>	向后搜索<字母>并跳转到第一个匹配位置之前的字母
T<字母>	向前搜索<字母>并跳转到第一个匹配位置之后的字母
shift+zz	退出vim
x	删除游标所在的字符
3x	删除3个连续字符，以此类推
X	删除游标所在的前一个字符
Delete	同x
dd	删除整行
2dd	向下删除2行，以此类推
dw	删除一个单词（不适用中文）
daw(delete a word)	删除一个单词
dnw(n替换为相应数字)	删除n个单词
d$或D	删除至行尾
d^	删除至行首
dG	删除到文档结尾处
d1G	删除至文档首部
.(小数点)	重复上一次的命令操作
gg	游标移动到第一行
G	游标移动到最后一行
nG	游标移动到第n行（如果默认没有显示行号，请先进入命令行模式，输入:set nu以显示行号）
Ctrl+o	快速回到上一次（跳转前）光标所在位置
yy	复制游标所在的整行
3yy	向下复制3行，以此类推
y^	复制至行首，不含光标所在处字符
yw	复制一个单词
y2w	复制两个单词
yG	复制至文本末
y1G	复制至文本开头
p	粘贴至光标后
P	粘贴至光标前
ddp	剪切并粘贴
r+<待替换字母>	将游标所在字母替换为指定字母
R	连续替换，直到按下Esc
cc	替换整行，即删除游标所在行，并进入插入模式
cw	替换一个单词。即删除一个单词，并进入插入模式
C（大写）	替换游标以后至行末
~	反转游标所在字母大小写
u(n)	撤销一次或n次操作
U（大写）	撤销当前行的所有修改
Ctrl+r	redo，即撤销undo的操作
>>	整行向右缩进
<<	整行向左回退
/+<需要查找的字符串>+回车	向下查找(进入查找之后，输入n和N可以继续查找，n是查找下一个内容，N查找上一个内容，命令行模式下输入noh回车可取消搜索)
?+<需要查找的字符串>+回车	向上查找(进入查找之后，输入n和N可以继续查找，n是查找下一个内容，N查找上一个内容，命令行模式下输入noh回车可取消搜索)
\*	寻找游标所在处的单词

插入模式
在普通模式下使用下面的键将进入插入模式，并可以从相应的位置开始输入。注意每次要先回到普通模式才能切换成以不同的方式进入插入模式。按ESC退回普通模式
命令	说明
i	在当前光标处进行编辑
I	在行首插入
A	在行末插入
a	在光标后插入编辑
o	在当前行后插入一个新行
O	在当前行前插入一个新行
cw	替换从光标所在位置到一个单词的结尾字符

命令行模式
在普通模式下输入：进入命令行模式
q!	强制退出vim，不保存
q	退出vim
wq!	强制保存并退出vim
w <文件路径>	另存为
saveas <文件路径>	另存为
x	保存并退出vim
wq	保存并退出vim
set nu	显示行号
set shiftwidth=10	设置缩进为10个字符，以此类推（输入Esc回到普通模式，再次尝试>>看缩进是否变化）
ce(center)	本行内容居中
ri(right)	本行内容居右
le(left)	本行内容居左



